,Variable,Type variable,Format_variable,Nombre modalités
0,Num_Acc,Explicative,int64,218404
1,jour,Explicative,int64,31
2,mois,Explicative,int64,12
3,an,Explicative,int64,4
4,hrmn,Explicative,object,1438
5,lum,Explicative,float64,5
6,dep,Explicative,object,116
7,com,Explicative,object,21259
8,agg,Explicative,int64,2
9,int,Explicative,float64,9
10,atm,Explicative,float64,9
11,col,Explicative,float64,7
12,adr,Explicative,object,87731
13,lat,Explicative,object,204249
14,long,Explicative,object,206523
15,catr,Explicative,int64,8
16,voie,Explicative,object,37236
17,v1,Explicative,float64,3
18,v2,Explicative,object,44
19,circ,Explicative,float64,4
20,nbv,Explicative,float64,13
21,vosp,Explicative,float64,4
22,prof,Explicative,float64,4
23,pr,Explicative,float64,631
24,pr1,Explicative,float64,1472
25,plan,Explicative,float64,4
26,lartpc,Explicative,object,65
27,larrout,Explicative,object,234
28,surf,Explicative,float64,9
29,infra,Explicative,float64,10
30,situ,Explicative,float64,7
31,vma,Explicative,float64,46
32,id_vehicule,Explicative,object,369639
33,num_veh,Explicative,object,77
34,place,Explicative,float64,10
35,catu,Explicative,int64,3
36,grav,Cible,float64,4
37,sexe,Explicative,float64,2
38,an_nais,Explicative,float64,110
39,trajet,Explicative,float64,7
40,secu1,Explicative,float64,10
41,secu2,Explicative,float64,10
42,secu3,Explicative,float64,10
43,locp,Explicative,float64,10
44,actp,Explicative,object,11
45,etatp,Explicative,float64,3
46,id_usager,Explicative,object,255910
47,senc,Explicative,float64,4
48,catv,Explicative,float64,31
49,obs,Explicative,float64,18
50,obsm,Explicative,float64,7
51,choc,Explicative,float64,10
52,manv,Explicative,float64,27
53,motor,Explicative,float64,7
54,occutc,Explicative,float64,34
